id,latitude,longitude,neighbourhood_cleansed,accommodates,bedrooms,beds,bathrooms,review_scores_rating,number_of_reviews,host_listings_count,amenities_count,host_tenure_days,has_picture,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,occupancy_rate_mean,target_price
913145507585334187,42.3172101,-71.0598517,Dorchester,16,6.0,10.0,4.0,4.91,23,12.0,40,2956.0,1,True,False,False,False,0.1095890410958904,745.0
913603590982610054,42.28485,-71.05648,Dorchester,2,1.0,1.0,1.0,,0,1.0,12,2416.0,1,False,False,True,False,0.0027397260273972603,240.0
913633842992669209,42.31611406654883,-71.0617305,Dorchester,3,2.0,2.0,1.0,,0,3.0,33,1255.0,1,True,False,False,False,0.010958904109589041,196.0
914457661179942537,42.34851753562866,-71.14247547809995,Brighton,4,2.0,2.0,2.0,5.0,2,8.0,32,2964.0,1,True,False,False,False,0.8328767123287671,170.0
914540815710828653,42.33779,-71.07638,South End,2,,,,4.74,78,19.0,38,1837.0,1,True,False,False,False,0.5917808219178082,
914594515559273013,42.33833,-71.07799,South End,2,0.0,1.0,1.0,4.78,100,19.0,36,1837.0,1,True,False,False,False,0.6136986301369863,167.0
914597481157436053,42.33771319476956,-71.07617773563585,South End,2,0.0,1.0,1.0,4.58,59,19.0,38,1837.0,1,True,False,False,False,0.5917808219178082,201.0
914621320278053102,42.3397,-71.0766,South End,4,0.0,2.0,1.0,4.75,57,19.0,36,1837.0,1,True,False,False,False,0.6191780821917808,235.0
915095328814606476,42.33972579036294,-71.07632251950251,South End,2,0.0,1.0,1.0,4.8,69,19.0,38,1837.0,1,True,False,False,False,0.6164383561643836,201.0
916759060552400715,42.3308789,-71.0371873,South Boston,3,1.0,2.0,1.0,5.0,97,1.0,44,858.0,1,True,False,False,False,0.18904109589041096,206.0
917340015029437891,42.35145241585736,-71.06505139960292,Downtown,4,2.0,2.0,1.0,4.59,94,59.0,25,2294.0,1,True,False,False,False,0.3589041095890411,326.0
917656155026492018,42.34673,-71.14722,Brighton,3,1.0,2.0,1.0,4.76,80,39.0,65,1546.0,1,True,False,False,False,0.6273972602739726,163.0
918198811733110218,42.33971421344498,-71.0778527595802,South End,2,0.0,1.0,1.0,4.78,96,19.0,38,1837.0,1,True,False,False,False,0.6219178082191781,210.0
918372123506141881,42.36766146996237,-71.03295247100604,East Boston,4,2.0,2.0,1.0,4.83,197,2.0,50,3411.0,1,True,False,False,False,0.5972602739726027,142.0
